# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4341180 39.2173383 433260 -123.7731091 0.46706
4341180 39.2173406 433290 -123.7727616 0.30047
4341150 39.2170449 432960 -123.7765810 0.25877
4341150 39.2170472 432990 -123.7762335 0.38874
4341120 39.2167676 432870 -123.7776205 0.82328
4341120 39.2167700 432900 -123.7772730 0.64378
4341120 39.2167723 432930 -123.7769255 0.27765
4341120 39.2167769 432990 -123.7762306 0.32935
4341120 39.2167792 433020 -123.7758831 0.45077
4341120 39.2167815 433050 -123.7755356 0.39141
4341090 39.2165112 433050 -123.7755326 0.32936
4341090 39.2165135 433080 -123.7751851 0.37528
4341060 39.2162502 433170 -123.7741397 0.38748
4341030 39.2159729 433080 -123.7751792 0.27177
4341030 39.2159752 433110 -123.7748317 0.36188
4341030 39.2159799 433170 -123.7741367 0.36261
4341030 39.2159822 433200 -123.7737893 0.64918
4341030 39.2159845 433230 -123.7734418 0.75280
4341030 39.2159868 433260 -123.7730943 0.64853
4341030 39.2160075 433530 -123.7699670 0.88414
4341000 39.2157119 433200 -123.7737863 0.52674
4341000 39.2157142 433230 -123.7734388 0.66690
4341000 39.2157165 433260 -123.7730913 0.58100
4341000 39.2157188 433290 -123.7727439 0.71460
4341000 39.2157211 433320 -123.7723964 0.43038
4340970 39.2154485 433290 -123.7727409 0.30047
4340970 39.2154508 433320 -123.7723934 0.31361
4340580 39.2119091 432960 -123.7765244 0.33359
4340550 39.2116272 432810 -123.7782588 0.38093
4340550 39.2116365 432930 -123.7768689 0.27274
4340550 39.2116388 432960 -123.7765215 0.34239
4340460 39.2108302 432990 -123.7761651 0.30560
4340430 39.2105576 432960 -123.7765096 0.65205
4340430 39.2105599 432990 -123.7761621 0.99464
4340400 39.2102896 432990 -123.7761591 0.47302
4340190 39.2083974 432990 -123.7761383 0.33026
4340160 39.2081271 432990 -123.7761353 0.33026
4340130 39.2078591 433020 -123.7757849 0.39285
4340100 39.2075865 432990 -123.7761294 0.39629
4340100 39.2075888 433020 -123.7757819 0.87154
4340100 39.2075911 433050 -123.7754345 0.71745
4340070 39.2073185 433020 -123.7757790 0.87154
4340070 39.2073231 433080 -123.7750841 0.35126
4340040 39.2070482 433020 -123.7757760 0.88926
4340040 39.2070528 433080 -123.7750811 0.57879
4340010 39.2067779 433020 -123.7757730 0.42993
4340010 39.2067802 433050 -123.7754256 0.65373
4339980 39.2064983 432900 -123.7771598 0.41322
4339500 39.2022012 433260 -123.7729432 0.29651
4339470 39.2019309 433260 -123.7729402 0.95845
4339470 39.2019332 433290 -123.7725928 0.24263
4339440 39.2016582 433230 -123.7732847 0.98934
4339440 39.2016605 433260 -123.7729372 0.80236
4339440 39.2016629 433290 -123.7725898 0.25379
4338390 39.1922297 433650 -123.7683179 0.38814
4338390 39.1922320 433680 -123.7679705 0.42845
4338390 39.1922343 433710 -123.7676231 0.51314
4338390 39.1922365 433740 -123.7672758 0.44317
4338360 39.1919617 433680 -123.7679675 0.31252
4338360 39.1919639 433710 -123.7676202 0.51314
4338360 39.1919662 433740 -123.7672728 0.77487
4338360 39.1919685 433770 -123.7669255 0.42584
4338330 39.1916936 433710 -123.7676172 0.32616
4338330 39.1916959 433740 -123.7672699 0.53708
4338330 39.1916982 433770 -123.7669225 0.89228
4338330 39.1917005 433800 -123.7665752 0.80432
4338300 39.1914279 433770 -123.7669196 0.60606
4338300 39.1914302 433800 -123.7665722 0.88364
4338270 39.1911576 433770 -123.7669166 0.33492
4338270 39.1911599 433800 -123.7665693 0.44224
4336350 39.1739350 434790 -123.7549214 0.32398
4336350 39.1739372 434820 -123.7545741 0.31008
4336320 39.1736624 434760 -123.7552657 0.42862
4336320 39.1736647 434790 -123.7549185 0.98978
4336320 39.1736669 434820 -123.7545712 0.83286
4336320 39.1736692 434850 -123.7542239 0.34936
4336290 39.1733944 434790 -123.7549156 0.41307
4336020 39.1709885 435150 -123.7507224 0.33614
4335990 39.1707182 435150 -123.7507196 0.33160
4335120 39.1629237 435750 -123.7436918 0.32781
4332270 39.1373644 437400 -123.7243312 0.89938
4332060 39.1354614 437250 -123.7260473 0.57677
4332030 39.1351911 437250 -123.7260445 0.53716
4323870 39.0618265 439530 -123.6989395 0.54596
4309770 38.9345984 437010 -123.7267637 0.33334
4308240 38.9207839 436620 -123.7311216 0.30833
4308210 38.9205114 436590 -123.7314649 0.32386
4308210 38.9205135 436620 -123.7311188 0.46308
4308180 38.9202432 436620 -123.7311161 0.30368
4308150 38.9199729 436620 -123.7311133 0.26983
4306740 38.9073853 438270 -123.7119543 0.28927
4306500 38.9052185 438210 -123.7126246 0.34899
4306500 38.9052206 438240 -123.7122787 0.36289
4306470 38.9049503 438240 -123.7122760 0.63378
4306470 38.9049524 438270 -123.7119300 0.44411
4306470 38.9049545 438300 -123.7115840 0.28963
4306440 38.9046800 438240 -123.7122733 0.44411
4306440 38.9046821 438270 -123.7119273 0.44411
4306440 38.9046842 438300 -123.7115813 0.35967
4306410 38.9044117 438270 -123.7119246 0.51555
4306410 38.9044139 438300 -123.7115787 0.44384
4306410 38.9044160 438330 -123.7112327 0.27777
4306380 38.9041372 438210 -123.7126138 0.23551
4306380 38.9041393 438240 -123.7122679 0.20773
4306380 38.9041414 438270 -123.7119219 0.37826
4306380 38.9041435 438300 -123.7115760 0.36689
4306380 38.9041456 438330 -123.7112300 0.46439
4306350 38.9038711 438270 -123.7119192 0.25012
4306350 38.9038732 438300 -123.7115733 0.33704
4306350 38.9038753 438330 -123.7112273 0.40887
4306350 38.9038774 438360 -123.7108813 0.38373
4306350 38.9038795 438390 -123.7105354 0.30259
4306350 38.9038816 438420 -123.7101894 0.29053
4306320 38.9036029 438300 -123.7115706 0.31258
4306320 38.9036050 438330 -123.7112246 0.30259
4306320 38.9036071 438360 -123.7108786 0.40729
4306320 38.9036092 438390 -123.7105327 0.32403
4306320 38.9036113 438420 -123.7101867 0.38791
4306320 38.9036134 438450 -123.7098408 0.30533
4306320 38.9036155 438480 -123.7094948 0.30533
4306290 38.9033305 438270 -123.7119138 0.24664
