# Python MESMA for LT05_LE07_20061020_20061021 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4364490 39.4271052 430020 -123.8130656 0.38370
4364490 39.4271076 430050 -123.8127170 0.60453
4364490 39.4271173 430170 -123.8113229 0.41151
4363890 39.4216405 429300 -123.8213666 0.27607
4363890 39.4216430 429330 -123.8210181 0.26415
4363890 39.4216454 429360 -123.8206697 0.25401
4363890 39.4216479 429390 -123.8203212 0.20248
4363860 39.4213752 429360 -123.8206665 0.34893
4363860 39.4213776 429390 -123.8203180 0.20777
4363590 39.4189302 429210 -123.8223804 0.31540
4363560 39.4186599 429210 -123.8223772 0.26411
4363530 39.4183896 429210 -123.8223740 0.27031
4363500 39.4181193 429210 -123.8223708 0.26805
4363500 39.4181218 429240 -123.8220224 0.25539
4363500 39.4181243 429270 -123.8216739 0.27079
4363500 39.4181267 429300 -123.8213254 0.27341
4363500 39.4181292 429330 -123.8209769 0.34281
4363500 39.4181316 429360 -123.8206284 0.30785
4363470 39.4178490 429210 -123.8223677 0.20239
4363470 39.4178515 429240 -123.8220192 0.24471
4363320 39.4164902 429120 -123.8233972 0.32544
4363320 39.4164926 429150 -123.8230487 0.22214
4363290 39.4162199 429120 -123.8233940 0.28433
4362000 39.4045824 428940 -123.8253478 0.21860
4362000 39.4045849 428970 -123.8249994 0.26946
4361610 39.4010637 428880 -123.8260031 0.46776
4361610 39.4010661 428910 -123.8256547 0.34424
4361580 39.4007934 428880 -123.8260000 0.39296
4361580 39.4007959 428910 -123.8256516 0.49728
4361340 39.3986335 428910 -123.8256261 0.25462
4361310 39.3983657 428940 -123.8252745 0.28221
4361310 39.3983681 428970 -123.8249261 0.42213
4361280 39.3980954 428940 -123.8252713 0.21857
4361280 39.3980979 428970 -123.8249229 0.33360
4361280 39.3981003 429000 -123.8245746 0.28594
4361250 39.3978276 428970 -123.8249198 0.27773
4360470 39.3908048 429030 -123.8241403 0.27217
4353330 39.3265332 429750 -123.8150321 0.27964
4350030 39.2968657 430560 -123.8052946 0.21465
4350000 39.2965954 430560 -123.8052915 0.25525
4350000 39.2966385 431100 -123.7990297 0.53721
4349970 39.2963202 430500 -123.8059841 0.28097
4349970 39.2963226 430530 -123.8056363 0.26604
4349970 39.2963682 431100 -123.7990266 0.57490
4349970 39.2963706 431130 -123.7986788 0.81081
4349940 39.2960499 430500 -123.8059810 0.34400
4349940 39.2960523 430530 -123.8056332 0.54448
4349940 39.2961003 431130 -123.7986757 0.75122
4349910 39.2957820 430530 -123.8056301 0.29835
4349880 39.2955430 430920 -123.8011047 0.21506
4349850 39.2952703 430890 -123.8014494 0.45409
4349850 39.2952727 430920 -123.8011016 0.44609
4349850 39.2952750 430950 -123.8007537 0.33997
4349850 39.2952774 430980 -123.8004058 0.26470
4349820 39.2949976 430860 -123.8017942 0.33491
4349820 39.2950000 430890 -123.8014464 0.53846
4349820 39.2950024 430920 -123.8010985 0.38262
4349790 39.2947273 430860 -123.8017911 0.40623
4349730 39.2941747 430710 -123.8035243 0.21544
4349730 39.2941771 430740 -123.8031764 0.37878
4349280 39.2900985 430440 -123.8066086 0.52099
4347990 39.2784876 430590 -123.8047363 0.54092
4347870 39.2774064 430590 -123.8047239 0.43312
4347840 39.2771361 430590 -123.8047208 0.49517
4347810 39.2768658 430590 -123.8047178 0.49092
4347780 39.2765955 430590 -123.8047147 0.34326
4347720 39.2760573 430620 -123.8043607 0.27488
4347690 39.2757846 430590 -123.8047054 0.30081
4347690 39.2757870 430620 -123.8043576 0.34623
4347570 39.2747106 430680 -123.8036497 0.30986
4347540 39.2744379 430650 -123.8039944 0.44868
4347540 39.2744403 430680 -123.8036466 0.43833
4346670 39.2666825 431700 -123.7917343 0.80956
4346580 39.2658858 431880 -123.7896388 0.62122
4346520 39.2653168 431520 -123.7938054 0.36830
4342470 39.2289406 432990 -123.7763645 0.34021
4342410 39.2284116 433140 -123.7746209 0.36928
4341030 39.2160075 433530 -123.7699670 0.93601
4331280 39.1284548 437550 -123.7225046 0.49084
4330830 39.1243872 437370 -123.7245454 0.29819
4311480 38.9499153 435750 -123.7414607 0.34721
4311480 38.9499174 435780 -123.7411145 0.28100
4311450 38.9496449 435750 -123.7414579 0.40471
4311450 38.9496471 435780 -123.7411117 0.38204
4311420 38.9493746 435750 -123.7414550 0.33704
4311420 38.9493768 435780 -123.7411089 0.38575
4308060 38.9191641 436650 -123.7307589 0.32020
4307730 38.9162078 436890 -123.7279603 0.30847
4307700 38.9159354 436860 -123.7283035 0.29348
4307700 38.9159375 436890 -123.7279575 0.34009
4307700 38.9159397 436920 -123.7276115 0.53268
4307670 38.9156672 436890 -123.7279548 0.42617
4307670 38.9156693 436920 -123.7276087 0.48144
4307640 38.9153969 436890 -123.7279520 0.31701
4307640 38.9153990 436920 -123.7276060 0.31701
4307610 38.9151373 437040 -123.7262192 0.30698
4307610 38.9151395 437070 -123.7258732 0.28630
4307580 38.9148670 437040 -123.7262164 0.35961
4307580 38.9148692 437070 -123.7258704 0.41119
4307550 38.9145967 437040 -123.7262137 0.34330
4307550 38.9145988 437070 -123.7258677 0.42255
4307550 38.9146010 437100 -123.7255216 0.24867
4307490 38.9140668 437190 -123.7244781 0.32154
4307460 38.9137965 437190 -123.7244754 0.28218
4307460 38.9137986 437220 -123.7241294 0.39980
4307460 38.9138007 437250 -123.7237834 0.30697
4307040 38.9100653 437940 -123.7157872 0.36962
4307010 38.9097950 437940 -123.7157845 0.38163
4306980 38.9095268 437970 -123.7154358 0.33173
4305900 38.8998394 438600 -123.7080734 0.26275
4305900 38.8998415 438630 -123.7077274 0.36884
4305900 38.8998436 438660 -123.7073815 0.38113
4305900 38.8998457 438690 -123.7070356 0.28103
4305870 38.8995711 438630 -123.7077248 0.49364
4305870 38.8995732 438660 -123.7073788 0.50809
4305870 38.8995753 438690 -123.7070329 0.41906
4305870 38.8995774 438720 -123.7066869 0.29132
4305840 38.8993008 438630 -123.7077221 0.44858
4305840 38.8993029 438660 -123.7073761 0.42840
4305840 38.8993050 438690 -123.7070302 0.34552
4305840 38.8993071 438720 -123.7066843 0.25071
4305810 38.8990305 438630 -123.7077194 0.35818
4305810 38.8990326 438660 -123.7073735 0.46376
4305810 38.8990347 438690 -123.7070275 0.34162
4305810 38.8990368 438720 -123.7066816 0.25649
4305750 38.8984961 438720 -123.7066762 0.23753
4305750 38.8985003 438780 -123.7059844 0.27731
4305720 38.8982279 438750 -123.7063276 0.25062
4305720 38.8982300 438780 -123.7059817 0.29183
4305720 38.8982321 438810 -123.7056358 0.25673
4305690 38.8979576 438750 -123.7063249 0.34589
4305690 38.8979597 438780 -123.7059790 0.44455
4305660 38.8976873 438750 -123.7063223 0.41538
4305660 38.8976893 438780 -123.7059763 0.56827
4305630 38.8974169 438750 -123.7063196 0.35818
4305630 38.8974190 438780 -123.7059737 0.49632
4305630 38.8974211 438810 -123.7056277 0.30825
4305600 38.8971466 438750 -123.7063169 0.25071
4305600 38.8971487 438780 -123.7059710 0.40419
4305600 38.8971508 438810 -123.7056251 0.35640
4305300 38.8944621 439020 -123.7031769 0.29073
4305300 38.8944642 439050 -123.7028310 0.29512
4305300 38.8944684 439110 -123.7021392 0.26778
4305270 38.8941856 438930 -123.7042120 0.32836
4305270 38.8941918 439020 -123.7031742 0.29100
4305270 38.8941939 439050 -123.7028283 0.25724
4305270 38.8941960 439080 -123.7024824 0.33676
4305240 38.8939132 438900 -123.7045552 0.23933
4305240 38.8939152 438930 -123.7042093 0.38455
4305240 38.8939173 438960 -123.7038634 0.30819
4305240 38.8939215 439020 -123.7031716 0.31624
4305240 38.8939236 439050 -123.7028257 0.29114
4305240 38.8939257 439080 -123.7024798 0.29073
4305210 38.8936407 438870 -123.7048985 0.27381
4305210 38.8936428 438900 -123.7045526 0.41594
4305210 38.8936449 438930 -123.7042066 0.38343
4305210 38.8936491 438990 -123.7035148 0.29590
4305210 38.8936512 439020 -123.7031689 0.41573
4305210 38.8936533 439050 -123.7028230 0.43810
4305210 38.8936553 439080 -123.7024771 0.38842
4305210 38.8936636 439200 -123.7010935 0.29073
4305180 38.8933704 438870 -123.7048958 0.27283
4305180 38.8933725 438900 -123.7045499 0.38565
4305180 38.8933746 438930 -123.7042040 0.37693
4305180 38.8933767 438960 -123.7038581 0.30819
4305180 38.8933788 438990 -123.7035122 0.34757
4305180 38.8933808 439020 -123.7031662 0.45363
4305180 38.8933829 439050 -123.7028203 0.48783
4305180 38.8933850 439080 -123.7024744 0.39269
4305180 38.8933871 439110 -123.7021285 0.25200
4305180 38.8933912 439170 -123.7014367 0.32434
4305180 38.8933933 439200 -123.7010908 0.42631
4305150 38.8931001 438870 -123.7048931 0.22745
4305150 38.8931022 438900 -123.7045472 0.34574
4305150 38.8931043 438930 -123.7042013 0.29490
4305150 38.8931064 438960 -123.7038554 0.22144
4305150 38.8931084 438990 -123.7035095 0.25225
4305150 38.8931105 439020 -123.7031636 0.37434
4305150 38.8931126 439050 -123.7028177 0.41537
4305150 38.8931147 439080 -123.7024718 0.37694
4305150 38.8931168 439110 -123.7021259 0.28059
4305150 38.8931188 439140 -123.7017800 0.25803
4305150 38.8931209 439170 -123.7014340 0.31832
4305150 38.8931230 439200 -123.7010881 0.41722
4305150 38.8931251 439230 -123.7007422 0.29764
4305120 38.8928402 439020 -123.7031609 0.27935
4305120 38.8928423 439050 -123.7028150 0.30217
4305120 38.8928444 439080 -123.7024691 0.29203
4305120 38.8928464 439110 -123.7021232 0.25826
4305120 38.8928589 439290 -123.7000478 0.26378
4305120 38.8928610 439320 -123.6997019 0.28436
4305120 38.8928630 439350 -123.6993559 0.22705
4305090 38.8925844 439230 -123.7007369 0.25776
4305090 38.8925865 439260 -123.7003910 0.35159
4305090 38.8925886 439290 -123.7000451 0.31822
4305090 38.8925906 439320 -123.6996992 0.32424
4305090 38.8925927 439350 -123.6993533 0.26254
4305060 38.8923141 439230 -123.7007343 0.29590
4305060 38.8923162 439260 -123.7003884 0.39035
4305030 38.8920438 439230 -123.7007316 0.27660
4305030 38.8920458 439260 -123.7003857 0.33051
4305000 38.8917859 439410 -123.6986535 0.23148
4305000 38.8917880 439440 -123.6983076 0.22745
4304700 38.8891115 439830 -123.6937846 0.25221
4304670 38.8888391 439800 -123.6941279 0.24850
4304610 38.8883046 439890 -123.6930850 0.32334
4304550 38.8877558 439770 -123.6944632 0.21791
4304520 38.8874854 439770 -123.6944606 0.31520
4304490 38.8872151 439770 -123.6944580 0.29267
4304040 38.8831684 439890 -123.6930351 0.34878
4304010 38.8828981 439890 -123.6930324 0.28406
4304010 38.8829002 439920 -123.6926866 0.31291
4303980 38.8826298 439920 -123.6926839 0.21824
4302870 38.8727070 441090 -123.6791003 0.26636
4301070 38.8565649 442260 -123.6654624 0.26092
4301040 38.8562945 442260 -123.6654599 0.39677
4301040 38.8562965 442290 -123.6651142 0.35062
4301040 38.8563024 442380 -123.6640770 0.33259
4301040 38.8563044 442410 -123.6637313 0.49986
4301010 38.8560222 442230 -123.6658031 0.35062
4301010 38.8560242 442260 -123.6654574 0.48896
4301010 38.8560262 442290 -123.6651117 0.32433
4301010 38.8560341 442410 -123.6637288 0.45460
4301010 38.8560360 442440 -123.6633830 0.36019
4300980 38.8557519 442230 -123.6658006 0.29693
4300980 38.8557539 442260 -123.6654549 0.43937
4300950 38.8554836 442260 -123.6654524 0.33029
4300950 38.8554855 442290 -123.6651066 0.37425
4300920 38.8552191 442350 -123.6644127 0.41433
4300920 38.8552211 442380 -123.6640669 0.39503
4300890 38.8549488 442350 -123.6644101 0.35387
4300890 38.8549508 442380 -123.6640644 0.39503
4300890 38.8549527 442410 -123.6637187 0.37018
4300860 38.8546804 442380 -123.6640619 0.38297
4300860 38.8546903 442530 -123.6623333 0.28037
4300830 38.8544199 442530 -123.6623308 0.32933
4300830 38.8544492 442980 -123.6571449 0.33029
4300830 38.8544512 443010 -123.6567992 0.38072
4300830 38.8544531 443040 -123.6564535 0.31174
4300800 38.8541789 442980 -123.6571425 0.45485
4300800 38.8541808 443010 -123.6567967 0.59619
4300800 38.8541828 443040 -123.6564510 0.41826
4300770 38.8539105 443010 -123.6567942 0.34414
4300770 38.8539125 443040 -123.6564485 0.47295
4300770 38.8539144 443070 -123.6561028 0.52260
4300740 38.8536421 443040 -123.6564460 0.36535
4300740 38.8536441 443070 -123.6561003 0.49282
4300680 38.8530486 442230 -123.6657754 0.41757
4300680 38.8530506 442260 -123.6654297 0.22711
4300650 38.8527704 442110 -123.6671557 0.36569
4300650 38.8527724 442140 -123.6668100 0.40848
4300650 38.8527744 442170 -123.6664643 0.28128
4300650 38.8527783 442230 -123.6657729 0.26409
4300650 38.8527822 442290 -123.6650815 0.26409
4300620 38.8524922 441990 -123.6685361 0.28239
4300620 38.8524942 442020 -123.6681904 0.28427
4300620 38.8524961 442050 -123.6678446 0.35762
4300620 38.8524981 442080 -123.6674989 0.26409
4300620 38.8525001 442110 -123.6671532 0.32415
4300620 38.8525021 442140 -123.6668075 0.40853
4300620 38.8525040 442170 -123.6664618 0.39705
4300620 38.8525060 442200 -123.6661161 0.25782
4300590 38.8522218 441990 -123.6685335 0.22033
4300590 38.8522238 442020 -123.6681878 0.45617
4300590 38.8522258 442050 -123.6678421 0.40647
4300590 38.8522278 442080 -123.6674964 0.27715
4300560 38.8519535 442020 -123.6681853 0.37618
4300560 38.8519555 442050 -123.6678396 0.58000
4300560 38.8519574 442080 -123.6674939 0.30800
4300530 38.8516832 442020 -123.6681828 0.24192
4300530 38.8516851 442050 -123.6678371 0.37895
4300530 38.8516871 442080 -123.6674914 0.39399
4300530 38.8516891 442110 -123.6671456 0.23979
4300500 38.8514168 442080 -123.6674888 0.22750
4300500 38.8514188 442110 -123.6671431 0.30316
4300500 38.8514207 442140 -123.6667974 0.28732
