# Python MESMA for LE07_LE07_20000918_20000925 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4398180 39.7304669 427980 -123.8404231 0.38200
4398180 39.7304846 428190 -123.8379728 0.38200
4398180 39.7304921 428280 -123.8369226 0.37684
4398180 39.7304947 428310 -123.8365726 0.38059
4398180 39.7304972 428340 -123.8362225 0.37822
4398180 39.7305073 428460 -123.8348224 0.41711
4398180 39.7305098 428490 -123.8344723 0.42316
4398180 39.7305123 428520 -123.8341223 0.38200
4398180 39.7305148 428550 -123.8337722 0.42339
4398180 39.7305173 428580 -123.8334222 0.42711
4398150 39.7301763 427740 -123.8432201 0.34462
4398150 39.7301788 427770 -123.8428701 0.41833
4398150 39.7301814 427800 -123.8425200 0.42711
4398150 39.7301864 427860 -123.8418200 0.37642
4398150 39.7301915 427920 -123.8411199 0.36838
4398150 39.7301940 427950 -123.8407698 0.33850
4398150 39.7301991 428010 -123.8400698 0.38086
4398150 39.7302168 428220 -123.8376195 0.37669
4398150 39.7302193 428250 -123.8372694 0.37940
4398150 39.7302219 428280 -123.8369194 0.37940
4398150 39.7302244 428310 -123.8365693 0.38125
4398150 39.7302320 428400 -123.8355192 0.37995
4398150 39.7302395 428490 -123.8344691 0.37966
4398150 39.7302420 428520 -123.8341190 0.37339
4398150 39.7302470 428580 -123.8334189 0.42711
4398150 39.7302496 428610 -123.8330689 0.37916
4398150 39.7302521 428640 -123.8327189 0.52867
4398120 39.7299187 427890 -123.8414666 0.38218
4398120 39.7299238 427950 -123.8407666 0.43618
4398120 39.7299263 427980 -123.8404165 0.38200
4398120 39.7299288 428010 -123.8400665 0.38086
4398120 39.7299339 428070 -123.8393664 0.37290
4398120 39.7299364 428100 -123.8390163 0.38086
4398120 39.7299440 428190 -123.8379662 0.38086
4398120 39.7299592 428370 -123.8358660 0.42189
4398120 39.7299617 428400 -123.8355159 0.38200
4398120 39.7299642 428430 -123.8351659 0.37916
4398120 39.7299717 428520 -123.8341158 0.38201
4398120 39.7299743 428550 -123.8337657 0.41711
4398120 39.7299768 428580 -123.8334157 0.41833
4398090 39.7296636 428070 -123.8393631 0.38346
4398090 39.7296662 428100 -123.8390131 0.38200
4398090 39.7296763 428220 -123.8376129 0.38427
4398090 39.7296864 428340 -123.8362128 0.37995
4398090 39.7296889 428370 -123.8358627 0.37995
4398090 39.7296914 428400 -123.8355127 0.38201
4398090 39.7296939 428430 -123.8351626 0.38125
4398090 39.7297040 428550 -123.8337625 0.42711
4398060 39.7294060 428220 -123.8376096 0.37669
4398060 39.7294110 428280 -123.8369096 0.38125
4398060 39.7294136 428310 -123.8365595 0.38125
4398060 39.7294161 428340 -123.8362095 0.37826
4398060 39.7294211 428400 -123.8355094 0.41918
4398060 39.7294236 428430 -123.8351594 0.39278
4398060 39.7294312 428520 -123.8341093 0.42014
4398060 39.7294337 428550 -123.8337592 0.38200
4398030 39.7291483 428370 -123.8358562 0.37944
4398030 39.7291534 428430 -123.8351561 0.38823
4398030 39.7291659 428580 -123.8334059 0.41711
4398000 39.7288881 428490 -123.8344528 0.38702
4398000 39.7288906 428520 -123.8341027 0.41918
4398000 39.7288982 428610 -123.8330526 0.41798
4398000 39.7289007 428640 -123.8327026 0.62464
4380630 39.5727936 433440 -123.7749469 0.80780
4371060 39.4863598 430770 -123.8050340 0.29504
4371030 39.4860896 430770 -123.8050309 0.29793
4371000 39.4858193 430770 -123.8050278 0.30299
4366110 39.4416545 429450 -123.8198586 0.62762
4366110 39.4416569 429480 -123.8195100 0.79624
4366080 39.4413842 429450 -123.8198554 0.29487
4366080 39.4413867 429480 -123.8195068 0.34109
4366050 39.4411286 429630 -123.8177607 0.25771
4364790 39.4298203 430170 -123.8113543 0.38664
4364760 39.4295451 430110 -123.8120482 0.30971
4364760 39.4295475 430140 -123.8116997 0.81712
4364760 39.4295500 430170 -123.8113512 0.61386
4364730 39.4292772 430140 -123.8116966 0.43665
4364520 39.4273265 429420 -123.8200392 0.31004
4364520 39.4273290 429450 -123.8196907 0.36192
4364520 39.4273852 430140 -123.8116746 0.34074
4364520 39.4273876 430170 -123.8113261 0.50918
4364520 39.4273900 430200 -123.8109775 0.34190
