# Python MESMA for LE07_LT05_19990831_19991102 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4361160 39.3970117 428910 -123.8256069 0.34231
4361160 39.3970142 428940 -123.8252586 0.36982
4361160 39.3970265 429090 -123.8235167 0.30011
4361160 39.3970290 429120 -123.8231683 0.31641
4361160 39.3970315 429150 -123.8228200 0.31679
4361160 39.3970339 429180 -123.8224716 0.29594
4361130 39.3967414 428910 -123.8256038 0.31657
4361130 39.3967587 429120 -123.8231652 0.29048
4361100 39.3964637 428820 -123.8266457 0.32020
4361100 39.3964662 428850 -123.8262973 0.37073
4361100 39.3964711 428910 -123.8256006 0.32234
4361100 39.3964736 428940 -123.8252522 0.37564
4361070 39.3961910 428790 -123.8269909 0.34181
4361070 39.3961934 428820 -123.8266425 0.32304
4361070 39.3961959 428850 -123.8262941 0.37184
4361070 39.3962009 428910 -123.8255974 0.37981
4361070 39.3962033 428940 -123.8252490 0.37298
4361040 39.3959207 428790 -123.8269877 0.33989
4361040 39.3959306 428910 -123.8255942 0.39984
4361040 39.3959330 428940 -123.8252458 0.34832
4361010 39.3956504 428790 -123.8269845 0.36669
4361010 39.3956528 428820 -123.8266361 0.34253
4360980 39.3953900 428910 -123.8255878 0.34786
4360680 39.3927117 429210 -123.8220725 0.35048
4360680 39.3927142 429240 -123.8217241 0.40930
4360680 39.3927215 429330 -123.8206791 0.48306
4360680 39.3927240 429360 -123.8203307 0.51917
4360680 39.3927264 429390 -123.8199824 0.42803
4360650 39.3924143 428880 -123.8259011 0.34422
4360650 39.3924167 428910 -123.8255528 0.40649
4360650 39.3924192 428940 -123.8252044 0.31657
4360650 39.3924217 428970 -123.8248561 0.34187
4360650 39.3924241 429000 -123.8245077 0.31998
4360650 39.3924389 429180 -123.8224176 0.29515
4360650 39.3924537 429360 -123.8203275 0.46609
4360650 39.3924561 429390 -123.8199792 0.54950
4360620 39.3921440 428880 -123.8258980 0.37423
4360620 39.3921464 428910 -123.8255496 0.34973
4360620 39.3921489 428940 -123.8252013 0.37298
4360590 39.3918786 428940 -123.8251981 0.37209
4360590 39.3918811 428970 -123.8248497 0.37186
